dataset,model,seed,init-lr,dropout,layer-sizes,batch-size,max-attempt-count,max-attempt-filter,onehot-input,output-per-skill,n-heads,acc,auc,prec,recall,f1,mcc,rmse,aic,aicc,bic,log-loss
IntroProg,SAKT,13,0.001,0.2,50_1_1_100,32,200,split,true,,1,0.754/0.029,0.824/0.014,0.755/0.023,0.753/0.075,0.753/0.048,0.483/0.029,0.408/0.019,,,,0.503/0.036
IntroProg,LSTM-DKT,42,0.001,0.2,50_1_50_1,32,200,split,,true,,0.755/0.026,0.824/0.011,0.751/0.035,0.763/0.058,0.757/0.046,0.488/0.028,0.407/0.015,,,,0.502/0.027
IntroProg,Vanilla-DKT,42,0.001,0.2,50_1_20_1,32,200,split,,true,,0.754/0.025,0.823/0.011,0.749/0.037,0.764/0.056,0.756/0.046,0.485/0.027,0.408/0.015,,,,0.505/0.027
Statics,DKVMN,13,0.01,0.2,50_20_20_1,32,200,split,true,true,,0.807/0.017,0.823/0.012,0.837/0.017,0.929/0.011,0.88/0.013,0.394/0.023,0.365/0.014,,,,0.417/0.026
Statics,DKVMN-Paper,13,0.01,0.2,50_50_50_1,32,200,split,true,true,,0.802/0.017,0.809/0.014,0.832/0.015,0.93/0.015,0.878/0.014,0.373/0.027,0.371/0.014,,,,0.427/0.028
Statics,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.806/0.016,0.822/0.013,0.833/0.014,0.934/0.02,0.881/0.013,0.384/0.034,0.366/0.014,,,,0.417/0.027
Statics,SAKT,42,0.001,0.2,50_1_1_1,32,200,split,true,true,1,0.801/0.018,0.808/0.015,0.828/0.019,0.935/0.015,0.878/0.014,0.364/0.031,0.371/0.014,,,,0.428/0.029
Statics,LSTM-DKT,13,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.806/0.016,0.823/0.013,0.832/0.017,0.936/0.02,0.881/0.013,0.382/0.033,0.366/0.013,,,,0.417/0.025
Statics,Vanilla-DKT,42,0.001,0.2,100_1_50_1,32,200,split,,true,,0.804/0.017,0.818/0.015,0.83/0.02,0.936/0.011,0.88/0.013,0.378/0.027,0.368/0.015,,,,0.42/0.03
ASSISTments 2009 Updated,DKVMN,13,0.001,0.2,50_20_50_1,32,200,split,true,true,,0.757/0.011,0.808/0.011,0.765/0.019,0.894/0.015,0.825/0.016,0.448/0.02,0.404/0.006,,,,0.485/0.011
ASSISTments 2009 Updated,DKVMN-Paper,13,0.01,0.2,50_20_20_100,32,200,split,,,,0.755/0.012,0.806/0.01,0.763/0.024,0.893/0.016,0.823/0.016,0.442/0.018,0.405/0.007,,,,0.488/0.014
ASSISTments 2009 Updated,LSTM-DKT-S+,42,0.001,0.2,50_1_20_1,32,200,split,,true,,0.759/0.009,0.81/0.012,0.765/0.018,0.898/0.017,0.826/0.015,0.451/0.025,0.402/0.005,,,,0.482/0.011
ASSISTments 2009 Updated,SAKT,13,0.001,0.2,50_50_50_50,32,200,split,,,5,0.752/0.014,0.799/0.009,0.755/0.021,0.904/0.016,0.823/0.018,0.433/0.016,0.408/0.009,,,,0.495/0.017
ASSISTments 2009 Updated,LSTM-DKT,42,0.001,0.2,50_1_20_1,32,200,split,,true,,0.759/0.01,0.811/0.012,0.765/0.016,0.898/0.022,0.826/0.016,0.451/0.022,0.402/0.006,,,,0.481/0.012
ASSISTments 2009 Updated,Vanilla-DKT,13,0.001,0.2,100_1_50_1,32,200,split,,true,,0.758/0.009,0.81/0.012,0.768/0.017,0.889/0.015,0.824/0.015,0.45/0.022,0.403/0.006,,,,0.482/0.013
