dataset,model,seed,init-lr,dropout,layer-sizes,batch-size,max-attempt-count,max-attempt-filter,onehot-input,output-per-skill,n-heads,acc,auc,prec,recall,f1,mcc,rmse,aic,aicc,bic,log-loss
IntroProg,SAKT,13,0.001,0.2,50_1_1_100,32,200,split,true,,1,0.754/0.029,0.824/0.014,0.754/0.023,0.753/0.074,0.753/0.048,0.483/0.03,0.407/0.019,,,,0.503/0.036
IntroProg,LSTM-DKT,42,0.001,0.2,50_1_50_1,32,200,split,,true,,0.755/0.026,0.824/0.011,0.752/0.036,0.761/0.058,0.756/0.046,0.488/0.028,0.407/0.015,,,,0.502/0.027
IntroProg,Vanilla-DKT,42,0.001,0.2,50_1_20_1,32,200,split,,true,,0.753/0.026,0.822/0.011,0.746/0.035,0.766/0.057,0.756/0.046,0.483/0.028,0.409/0.015,,,,0.506/0.026
Statics,DKVMN,13,0.01,0.2,50_20_20_1,32,200,split,true,true,,0.807/0.017,0.823/0.012,0.837/0.017,0.929/0.011,0.88/0.013,0.394/0.023,0.365/0.014,,,,0.417/0.026
Statics,DKVMN-Paper,13,0.01,0.2,50_50_50_1,32,200,split,true,true,,0.802/0.017,0.809/0.014,0.832/0.015,0.93/0.015,0.878/0.014,0.373/0.027,0.371/0.014,,,,0.427/0.028
Statics,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.807/0.017,0.822/0.013,0.835/0.016,0.932/0.017,0.881/0.014,0.39/0.024,0.366/0.014,,,,0.417/0.026
Statics,SAKT,42,0.001,0.2,50_1_1_1,32,200,split,true,true,1,0.801/0.018,0.811/0.014,0.83/0.019,0.93/0.016,0.878/0.014,0.37/0.024,0.371/0.015,,,,0.426/0.03
Statics,LSTM-DKT,13,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.806/0.016,0.821/0.013,0.832/0.014,0.934/0.023,0.88/0.014,0.382/0.037,0.366/0.013,,,,0.418/0.025
Statics,Vanilla-DKT,42,0.001,0.2,100_1_50_1,32,200,split,,true,,0.805/0.017,0.819/0.014,0.832/0.018,0.934/0.012,0.88/0.014,0.38/0.024,0.367/0.015,,,,0.421/0.029
ASSISTments 2009 Updated,DKVMN,13,0.001,0.2,50_20_50_1,32,200,split,true,true,,0.757/0.011,0.808/0.011,0.765/0.019,0.894/0.015,0.825/0.016,0.448/0.02,0.404/0.006,,,,0.485/0.011
ASSISTments 2009 Updated,DKVMN-Paper,13,0.01,0.2,50_20_20_100,32,200,split,,,,0.754/0.012,0.805/0.011,0.762/0.022,0.894/0.014,0.823/0.016,0.44/0.018,0.405/0.007,,,,0.488/0.013
ASSISTments 2009 Updated,LSTM-DKT-S+,42,0.001,0.2,50_1_20_1,32,200,split,,true,,0.759/0.009,0.81/0.012,0.765/0.019,0.899/0.017,0.826/0.014,0.451/0.025,0.402/0.005,,,,0.482/0.012
ASSISTments 2009 Updated,SAKT,13,0.001,0.2,50_50_50_50,32,200,split,,,5,0.752/0.015,0.799/0.009,0.756/0.022,0.902/0.016,0.823/0.019,0.434/0.017,0.408/0.009,,,,0.495/0.017
ASSISTments 2009 Updated,LSTM-DKT,42,0.001,0.2,50_1_20_1,32,200,split,,true,,0.759/0.01,0.811/0.012,0.765/0.017,0.897/0.022,0.826/0.016,0.451/0.022,0.402/0.005,,,,0.481/0.012
ASSISTments 2009 Updated,Vanilla-DKT,13,0.001,0.2,100_1_50_1,32,200,split,,true,,0.758/0.01,0.811/0.012,0.766/0.018,0.894/0.01,0.825/0.015,0.449/0.022,0.402/0.006,,,,0.482/0.013
